time,altitude,sound_time
1479753850,9.876706285,1130
1479753852,10.01917548,1220
1479753853,9.740134134,1210
1479753854,10.09485522,1220
1479753855,10.27079855,1220
1479753857,10.27079855,1220
1479753858,10.13569716,1130
1479753859,10.18903873,1120
1479753860,9.973631156,1130
1479753861,10.12625797,1130
1479753863,9.944788742,1130
1479753864,10.13375428,1220
1479753867,10.06486176,1220
1479753867,10.06486176,1130
1479753868,10.06486176,1130
1479753869,9.909025593,1120
1479753870,9.814102503,1130
1479753871,9.814102503,1120
1479753873,9.896668199,1130
1479753874,9.789588071,1130
1479753875,9.838500256,1120
1479753876,9.942629108,1130
1479753878,9.666024541,1130
1479753879,9.576865261,1220
1479753880,9.645020804,1220
1479753881,9.759403715,1130
1479753882,9.43877119,1220
1479753884,9.817721305,1220
1479753885,9.756527033,1220
1479753886,9.845746216,1220
1479753887,9.625801463,1120
1479753889,9.509110388,1220
1479753890,10.0427232,1130
1479753891,9.835381743,1130
1479753892,9.620365022,1130
1479753894,9.852666989,1220
1479753895,9.62998719,1220
1479753899,9.62998719,1130
1479753899,9.62998719,1130
1479753899,9.62998719,1130
1479753900,9.62998719,1210
1479753901,9.50550837,1220
1479753902,9.625959886,1360
1479753903,9.528796444,1220
1479753905,9.764448332,1220
1479753906,9.572462765,1220
1479753907,9.677105926,1220
1479753908,9.799352146,1220
1479753910,9.628461317,1220
1479753911,9.628461317,1220
1479753912,9.861930825,1220
1479753913,9.972922394,1210
1479753915,9.814194224,1220
1479753916,10.22220121,1130
1479753917,9.744520024,1130
1479753918,10.09140309,1220
1479753920,9.797175865,1130
1479753921,9.797175865,1130
1479753922,9.930822005,1130
1479753923,9.638508737,1130
1479753924,9.857561562,1130
1479753926,9.778531581,1130
1479753929,9.60169604,1130
1479753930,9.60169604,1120
1479753930,9.60169604,1130
1479753931,9.60169604,1220
1479753932,9.822415743,1220
1479753933,9.834364474,1220
1479753934,9.88475275,1130
1479753936,9.721439922,1220
1479753937,9.656627468,1220
1479753938,9.834364474,1130
1479753939,9.834364474,1130
1479753941,9.746721308,1210
1479753942,9.899102988,1120
1479753943,9.875864117,1130
1479753944,9.616312708,1220
1479753945,9.660929942,1130
1479753947,9.672319833,1210
1479753948,9.45297907,1210
1479753949,9.727201605,1120
1479753950,9.728143819,1120
1479753952,9.829478251,1210
1479753953,9.671736163,1210
1479753954,9.622057656,1210
1479753955,9.86615,1210
1479753957,9.712326298,1120
1479753959,9.712326298,1220
1479753959,9.712326298,1220
1479753960,9.723149249,1130
1479753962,9.524060447,1130
1479753963,9.845612804,1220
1479753964,9.658570252,1130
1479753965,9.639367562,1130
1479753966,9.900195308,1220
1479753968,9.716211886,1220
1479753969,9.539644218,1220
1479753970,9.775654895,1130
1479753971,9.812184705,1130
1479753973,9.812184705,1130
1479753974,9.998704693,1130
1479753975,9.837733135,1220
1479753976,10.11269957,1220
1479753978,10.29493054,1220
1479753979,9.914703996,1220
1479753980,9.997770792,1220
1479753981,10.07192443,1220
1479753983,9.805163901,1220
1479753984,10.11904517,1220
1479753985,9.78356787,1220
1479753986,9.87643946,1220
1479753988,10.09679808,1210
1479753989,9.98775638,1210
1479753990,9.98775638,1210
1479753991,9.707556866,1220
1479753992,9.950016893,1220
1479753994,9.817454481,1220
1479753995,9.739633842,1220
1479753996,9.614386608,1130
1479753997,9.785735809,1220
1479753999,9.785735809,1210
1479754000,9.679007022,1210
1479754001,9.58700435,1220
1479754002,9.67126089,1210
1479754004,9.567101395,1210
1479754005,9.364755456,1220
1479754006,9.396806364,1210
1479754007,9.396806364,1210
1479754009,9.62015657,1210
1479754010,9.562557156,1210
1479754011,9.646004701,1220
1479754012,9.461575513,1220
1479754013,9.532556893,1220
1479754015,9.743477749,1220
1479754016,9.683067699,1360
1479754017,9.766833061,1220
1479754018,10.38405426,1210
1479754020,10.73355203,924
1479754021,10.61984222,924
1479754022,10.95677242,1130
1479754023,10.99391513,1360
1479754024,10.99391513,1210
1479754026,10.77973344,1220
1479754027,10.8115969,924
1479754028,10.73644565,1210
1479754029,10.73225948,1220
1479754031,10.64637662,1360
1479754032,10.81095479,1220
1479754033,10.79015722,1360
1479754034,10.92923653,1210
1479754036,10.70075484,1360
1479754037,10.82260445,1220
1479754038,10.68601157,1220
1479754039,10.89022609,1220
1479754041,10.9380927,1360
1479754042,10.95820675,1130
1479754043,10.95820675,924
1479754044,11.06134608,1360
1479754045,10.77734848,924
1479754047,10.80292429,1210
1479754048,10.66985904,1220
1479754049,10.8113634,924
1479754050,10.53280953,1220
1479754052,10.99219725,924
1479754053,10.99219725,1220
1479754054,10.29584779,1220
1479754055,10.06934785,1220
1479754057,10.13327065,1220
1479754058,9.877698543,1220
1479754059,9.899795069,1360
1479754060,10.26858882,1360
1479754061,10.07529317,1360
1479754063,10.17787342,1220
1479754064,9.978467417,1220
1479754065,10.0701817,1220
1479754066,10.16445671,1210
1479754068,10.17589719,1210
1479754069,10.17589719,1210
1479754070,9.905740293,1220
1479754071,10.13041054,1220
1479754073,10.27679402,1220
1479754074,9.89993682,1220
1479754075,9.907399619,1220
1479754076,9.967060515,1210
1479754078,9.894475222,1210
1479754079,9.894475222,1220
1479754080,9.932264538,1220
1479754081,10.05100327,1220
1479754082,10.08193893,1210
1479754084,10.21019366,1220
1479754085,10.07677742,1220
1479754086,10.65695871,1220
1479754087,10.65695871,1220
1479754089,11.69869266,1210
1479754090,15.61190777,1220
1479754091,27.64718543,1220
1479754092,34.35827629,1220
1479754094,38.77465852,1220
1479754095,38.77465852,1220
1479754096,49.7113456,1210
1479754097,56.48394458,1220
1479754099,62.26550418,1220
1479754100,69.67569377,1220
