time,gps_timestamp,lat,lat_direction,lng,lng_direction,fix_quality,num_satelites,hdop,altitude,height_geoid_ellipsoid
1479753333.583436,183533.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753334.582887,183534.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753335.582311,183535.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753336.585542,183536.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753337.581323,183537.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753338.579963,183538.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753339.579849,183539.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753340.583568,183540.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753341.582154,183541.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753342.582012,183542.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753343.581717,183543.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753344.581352,183544.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753345.584863,183545.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753346.583499,183546.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753347.583549,183547.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753348.581938,183548.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753349.581638,183549.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753350.58114,183550.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753351.580909,183551.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753352.584542,183552.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753353.583183,183553.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753354.583068,183554.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753355.582831,183555.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753356.59008,183556.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753357.584584,183557.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753358.584265,183558.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753359.583402,183559.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753360.583109,183600.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753361.582239,183601.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753362.581633,183602.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753363.581252,183603.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753364.581049,183604.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753365.584781,183605.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753366.583416,183606.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753367.583119,183607.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753368.581799,183608.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753369.581482,183609.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753370.58112,183610.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753371.584539,183611.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753372.58042,183612.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753373.584012,183613.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753374.583396,183614.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753375.586328,183615.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753376.585584,183616.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753377.584511,183617.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753378.584934,183618.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753379.584064,183619.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753380.583156,183620.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753381.582624,183621.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753382.582003,183622.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753383.581392,183623.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753384.584652,183624.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753385.584538,183625.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753386.58322,183626.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753387.583091,183627.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753388.582705,183628.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753389.582271,183629.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753390.580947,183630.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753391.584708,183631.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753392.584469,183632.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753393.583147,183633.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753394.583035,183634.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753395.582766,183635.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753396.581333,183636.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753397.585125,183637.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753398.583898,183638.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753399.583829,183639.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753400.583694,183640.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753401.582202,183641.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753402.581881,183642.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753403.581526,183643.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753404.585073,183644.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753405.583745,183645.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753406.583667,183646.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753407.583392,183647.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753408.582942,183648.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753409.581333,183649.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753410.581,183650.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753411.580881,183651.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753412.583382,183652.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753413.583314,183653.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753414.583069,183654.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753415.582768,183655.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753416.581137,183656.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753417.580935,183657.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753418.584687,183658.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753419.583317,183659.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753420.583221,183700.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753421.582929,183701.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753422.582437,183702.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753423.58106,183703.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753424.584612,183704.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753425.584496,183705.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753426.583123,183706.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753427.582854,183707.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753428.582348,183708.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753429.581995,183709.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753430.585531,183710.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753431.58417,183711.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753432.583933,183712.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753433.583854,183713.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753434.582244,183714.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753435.581916,183715.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753436.581544,183716.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753437.585097,183717.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753438.584849,183718.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753439.583526,183719.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753440.583411,183720.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753441.583048,183721.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753442.581468,183722.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753443.581355,183723.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753444.585153,183724.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753445.583661,183725.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753446.58366,183726.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753447.583376,183727.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753448.581722,183728.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753449.581392,183729.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753450.581067,183730.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753451.584824,183731.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753452.583462,183732.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753453.583383,183733.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753454.583062,183734.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753455.582764,183735.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753456.581082,183736.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753457.584887,183737.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753458.584765,183738.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753459.583396,183739.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753460.58333,183740.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753461.583003,183741.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753462.581382,183742.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753463.584938,183743.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
