time,exterior_pressure,exterior_humidity,exterior_temperature,estimated_altitude,sound_time,blue_voltage,red_voltage,white_voltage
1479753550.341413,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753551.573865,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753552.807245,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753554.043319,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753555.27682,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753556.513059,71014.7,60.24,21.99,2900.0,3010.0,341,0,0
1479753557.746666,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753558.982758,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753560.216638,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753561.452633,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753562.686278,71014.7,60.24,21.99,2900.0,1120.0,340,0,0
1479753563.922346,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753565.156054,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753566.388315,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753567.625627,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753568.857885,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753570.095085,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753571.327554,71014.7,60.24,21.99,2900.0,1120.0,340,0,0
1479753572.564874,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753573.797372,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753575.034695,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753576.267162,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753577.500676,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753578.736748,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753579.970237,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753581.207569,71014.7,60.24,21.99,2900.0,1120.0,340,0,0
1479753582.440033,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753583.677361,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753584.909852,71014.7,60.24,21.99,2900.0,1130.0,339,0,0
1479753586.145931,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753587.379583,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753588.611909,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753589.849108,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753591.086458,71014.7,60.24,21.99,2900.0,2000.0,340,0,0
