interior_pressure,calibrated_pressure,pressure_normal,pressure_2.5,pressure_97.5
101288.5385,101450.3186,101450.3187,101346.0381,101546.6987
101288.5385,101450.3186,101450.3187,101346.0381,101546.6987
101288.5385,101450.3186,101450.3187,101346.0381,101546.6987
101289.9095,101451.6919,101451.6919,101347.4098,101548.0732
101289.9095,101451.6919,101451.6919,101347.4098,101548.0732
101289.9095,101451.6919,101451.6919,101347.4098,101548.0732
101286.0319,101447.808,101447.8081,101343.53,101544.1857
101286.0319,101447.808,101447.8081,101343.53,101544.1857
101286.0319,101447.808,101447.8081,101343.53,101544.1857
101285.7006,101447.4762,101447.4762,101343.1985,101543.8535
101285.7006,101447.4762,101447.4762,101343.1985,101543.8535
101285.7006,101447.4762,101447.4762,101343.1985,101543.8535
101287.5744,101449.353,101449.353,101345.0734,101545.7321
101287.5744,101449.353,101449.353,101345.0734,101545.7321
101287.5744,101449.353,101449.353,101345.0734,101545.7321
101287.5623,101449.3409,101449.3409,101345.0613,101545.72
101287.5623,101449.3409,101449.3409,101345.0613,101545.72
101287.5623,101449.3409,101449.3409,101345.0613,101545.72
101286.8607,101448.6382,101448.6382,101344.3593,101545.0166
101286.8607,101448.6382,101448.6382,101344.3593,101545.0166
101288.8861,101450.6669,101450.6668,101346.3859,101547.0472
101288.8861,101450.6669,101450.6668,101346.3859,101547.0472
101288.8861,101450.6669,101450.6668,101346.3859,101547.0472
101269.7452,101431.4953,101431.4953,101327.234,101527.8574
101269.7452,101431.4953,101431.4953,101327.234,101527.8574
101269.7452,101431.4953,101431.4953,101327.234,101527.8574
101269.7452,101431.4953,101431.4953,101327.234,101527.8574
101269.7452,101431.4953,101431.4953,101327.234,101527.8574
101286.273,101448.0495,101448.0495,101343.7713,101544.4274
101286.273,101448.0495,101448.0495,101343.7713,101544.4274
101286.273,101448.0495,101448.0495,101343.7713,101544.4274
101288.5787,101450.3589,101450.3589,101346.0783,101546.739
101288.5787,101450.3589,101450.3589,101346.0783,101546.739
101289.5121,101451.2938,101451.2938,101347.0122,101547.6748
101289.5121,101451.2938,101451.2938,101347.0122,101547.6748
101289.5121,101451.2938,101451.2938,101347.0122,101547.6748
101289.6972,101451.4792,101451.4792,101347.1974,101547.8603
101289.6972,101451.4792,101451.4792,101347.1974,101547.8603
101289.6972,101451.4792,101451.4792,101347.1974,101547.8603
101289.6972,101451.4792,101451.4792,101347.1974,101547.8603
101286.9858,101448.7635,101448.7635,101344.4845,101545.142
101286.9858,101448.7635,101448.7635,101344.4845,101545.142
101286.9858,101448.7635,101448.7635,101344.4845,101545.142
101286.7777,101448.5551,101448.555,101344.2763,101544.9334
101286.7777,101448.5551,101448.555,101344.2763,101544.9334
101286.7777,101448.5551,101448.555,101344.2763,101544.9334
101287.8574,101449.6365,101449.6365,101345.3566,101546.0158
101287.8574,101449.6365,101449.6365,101345.3566,101546.0158
101287.8626,101449.6417,101449.6417,101345.3618,101546.0211
101287.8626,101449.6417,101449.6417,101345.3618,101546.0211
101287.8626,101449.6417,101449.6417,101345.3618,101546.0211
101287.8626,101449.6417,101449.6417,101345.3618,101546.0211
101287.8626,101449.6417,101449.6417,101345.3618,101546.0211
101287.5415,101449.3201,101449.3201,101345.0405,101545.6991
101287.5415,101449.3201,101449.3201,101345.0405,101545.6991
101288.251,101450.0307,101450.0307,101345.7504,101546.4104
101288.251,101450.0307,101450.0307,101345.7504,101546.4104
101288.251,101450.0307,101450.0307,101345.7504,101546.4104
101287.8321,101449.6111,101449.6111,101345.3313,101545.9905
101287.8321,101449.6111,101449.6111,101345.3313,101545.9905
101287.4774,101449.2559,101449.2559,101344.9764,101545.6349
101287.4774,101449.2559,101449.2559,101344.9764,101545.6349
101285.3105,101447.0855,101447.0855,101342.8082,101543.4624
101285.3105,101447.0855,101447.0855,101342.8082,101543.4624
101285.3105,101447.0855,101447.0855,101342.8082,101543.4624
101289.6418,101451.4237,101451.4237,101347.142,101547.8048
101289.6418,101451.4237,101451.4237,101347.142,101547.8048
101289.6418,101451.4237,101451.4237,101347.142,101547.8048
101285.7217,101447.4973,101447.4974,101343.2197,101543.8747
101285.7217,101447.4973,101447.4974,101343.2197,101543.8747
101285.7217,101447.4973,101447.4974,101343.2197,101543.8747
101286.9297,101448.7073,101448.7073,101344.4283,101545.0858
101286.9297,101448.7073,101448.7073,101344.4283,101545.0858
101286.9297,101448.7073,101448.7073,101344.4283,101545.0858
101290.1224,101451.9051,101451.9051,101347.6229,101548.2866
101290.1224,101451.9051,101451.9051,101347.6229,101548.2866
101290.1224,101451.9051,101451.9051,101347.6229,101548.2866
101290.1224,101451.9051,101451.9051,101347.6229,101548.2866
101285.9347,101447.7107,101447.7107,101343.4328,101544.0882
101285.9347,101447.7107,101447.7107,101343.4328,101544.0882
101285.9347,101447.7107,101447.7107,101343.4328,101544.0882
101285.603,101447.3785,101447.3785,101343.1009,101543.7557
101285.603,101447.3785,101447.3785,101343.1009,101543.7557
101285.603,101447.3785,101447.3785,101343.1009,101543.7557
101287.5128,101449.2914,101449.2913,101345.0118,101545.6704
101287.5128,101449.2914,101449.2913,101345.0118,101545.6704
101287.5128,101449.2914,101449.2913,101345.0118,101545.6704
101287.6054,101449.384,101449.3841,101345.1044,101545.7632
101287.6054,101449.384,101449.3841,101345.1044,101545.7632
101287.0936,101448.8715,101448.8714,101344.5923,101545.2501
101287.0936,101448.8715,101448.8714,101344.5923,101545.2501
101287.0936,101448.8715,101448.8714,101344.5923,101545.2501
101286.0316,101447.8078,101447.8078,101343.5297,101544.1854
101286.0316,101447.8078,101447.8078,101343.5297,101544.1854
101286.0316,101447.8078,101447.8078,101343.5297,101544.1854
101286.5585,101448.3355,101448.3355,101344.0569,101544.7136
101286.5585,101448.3355,101448.3355,101344.0569,101544.7136
101286.5585,101448.3355,101448.3355,101344.0569,101544.7136
101284.8512,101446.6255,101446.6255,101342.3487,101543.002
101284.8512,101446.6255,101446.6255,101342.3487,101543.002
101284.8512,101446.6255,101446.6255,101342.3487,101543.002
101284.8512,101446.6255,101446.6255,101342.3487,101543.002
101287.1127,101448.8906,101448.8906,101344.6114,101545.2692
101287.1127,101448.8906,101448.8906,101344.6114,101545.2692
101287.1127,101448.8906,101448.8906,101344.6114,101545.2692
101287.1177,101448.8955,101448.8956,101344.6164,101545.2743
101287.1177,101448.8955,101448.8956,101344.6164,101545.2743
101287.1177,101448.8955,101448.8956,101344.6164,101545.2743
101291.0248,101452.809,101452.8089,101348.5258,101549.1913
101291.0248,101452.809,101452.8089,101348.5258,101549.1913
101291.0248,101452.809,101452.8089,101348.5258,101549.1913
101287.9985,101449.7778,101449.7778,101345.4978,101546.1573
101287.9985,101449.7778,101449.7778,101345.4978,101546.1573
101287.9985,101449.7778,101449.7778,101345.4978,101546.1573
101286.993,101448.7707,101448.7707,101344.4917,101545.1492
101286.993,101448.7707,101448.7707,101344.4917,101545.1492
101286.993,101448.7707,101448.7707,101344.4917,101545.1492
101287.1213,101448.8991,101448.8992,101344.6201,101545.2779
101287.1213,101448.8991,101448.8992,101344.6201,101545.2779
101285.632,101447.4075,101447.4075,101343.1299,101543.7848
101285.632,101447.4075,101447.4075,101343.1299,101543.7848
101285.632,101447.4075,101447.4075,101343.1299,101543.7848
101285.0322,101446.8067,101446.8068,101342.5298,101543.1834
101285.0322,101446.8067,101446.8068,101342.5298,101543.1834
101285.0322,101446.8067,101446.8068,101342.5298,101543.1834
101285.0322,101446.8067,101446.8068,101342.5298,101543.1834
